country,score,notes
Algeria,1,Annual national statistics
Angola,0,No publicly available hourly or detailed demand data
Benin,2,Annual mostly high-level data
Botswana,1,Little or low-quality / old data
Burkina Faso,1,Little or low-quality / old data
Burundi,3,Better-than-annual data with some disaggregation
Cameroon,1,Little or low-quality / old data
Cape Verde,1,Little or low-quality / old data
Central African Republic,1,Little or low-quality / old data
Chad,0,No publicly available data
Comoros,1,Little or low-quality / old data
Congo,1,Little or low-quality / old data
Cote d'Ivoire,2,Annual mostly high-level data
Democratic Republic of the Congo,1,Little or low-quality / old data
Djibouti,1,Little or low-quality / old data
Egypt,1,Little or low-quality / old data
Equatorial Guinea,1,Little or low-quality / old data
Eritrea,1,Little or low-quality / old data
Eswatini,1,Little or low-quality / old data
Ethiopia,0,No publicly available data
Gabon,1,Little or low-quality / old data
Gambia,2,Annual mostly high-level data
Ghana,3,Better-than-annual data with some disaggregation
Guinea,1,Little or low-quality / old data
Guinea-Bissau,2,Annual mostly high-level data
Kenya,3,Better-than-annual data with some disaggregation
Lesotho,1,Little or low-quality / old data
Liberia,1,Little or low-quality / old data
Libya,0,No publicly available data
Madagascar,2,Annual mostly high-level data
Malawi,1,Little or low-quality / old data
Mali,0,No publicly available data
Mauritania,0,No publicly available data
Mauritius,1,Little or low-quality / old data
Morocco,1,Little or low-quality / old data
Mozambique,2,Annual mostly high-level data
Namibia,3,Better-than-annual data with some disaggregation
Niger,0,No publicly available data
Nigeria,1,Little or low-quality / old data
Rwanda,3,Better-than-annual data with some disaggregation
Sao Tome and Principe,1,Little or low-quality / old data
Senegal,1,Little or low-quality / old data
Seychelles,1,Little or low-quality / old data
Sierra Leone,1,Little or low-quality / old data
Somalia,0,No publicly available data
South Africa,4,Good monthly-or-better data with high detail
South Sudan,1,Little or low-quality / old data
Sudan,0,No publicly available data
Tanzania,1,Little or low-quality / old data
Togo,3,Better-than-annual data with some disaggregation
Tunisia,2,Annual mostly high-level data
Uganda,3,Better-than-annual data with some disaggregation
Zambia,2,Annual mostly high-level data
Zimbabwe,0,No publicly available data
